index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Mortierellomycota,k__Fungi;__,k__Fungi;p__Fungi_phy_Incertae_sedis,k__Fungi;p__Zoopagomycota,k__Rhizaria;p__Cercozoa,k__Fungi;p__Rozellomycota,Unassigned;__,k__Fungi;p__Chytridiomycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Olpidiomycota,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis,k__Fungi;p__Monoblepharomycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mucoromycota,k__Stramenopila;p__Ochrophyta,k__Viridiplantae;p__Anthophyta,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Sanchytriomycota,k__Metazoa;p__Chordata,k__Fungi;p__Basidiobolomycota,k__Viridiplantae;__,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,pH_category,Age_category
RSPB_churchil,3420.0,4280.0,901.0,1003.0,860.0,89.0,222.0,34.0,90.0,29.0,49.0,17.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25;nan,2010,11,SU2075340336,"51.1619, -1.7045994",Green_hay_bush,8.01,116.8,No,No,Yes,No,Above_median,Below_median
RSPB_junction,1626.0,4807.0,1322.0,2146.0,561.0,158.0,85.0,38.0,135.0,90.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26;nan,2007,14,SU2267739280,"51.152332, -1.6771517",Green_hay_bush,8.41,24.6,No,No,Yes,No,Above_median,Below_median
RSPB_Mainline,4367.0,4062.0,638.0,1301.0,226.0,153.0,103.0,8.0,14.0,89.0,23.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27;nan,2016,5,SU2250539212,"51.151728, -1.6796151",Green_hay_bush,8.48,23.4,No,No,Yes,No,Above_median,Below_median
Baltic_farm_1,917.0,7336.0,195.0,944.0,1199.0,44.0,266.0,23.0,63.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28;nan,2005,16,SU0459767825,"51.40943, -1.9352946",Green_hay_bush,7.94,29.2,Yes,Yes,Yes,No,Above_median,Above_median
Baltic_farm_2,6650.0,1169.0,512.0,1582.0,688.0,106.0,45.0,4.0,0.0,167.0,6.0,0.0,67.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29;nan,1998,23,SU0306867167,"51.403524, -1.9572835",Green_hay_bush,8.27,29.6,Yes,Yes,Yes,No,Above_median,Above_median
WestEndFarm,6342.0,2621.0,370.0,967.0,301.0,227.0,115.0,0.0,0.0,0.0,17.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30;nan,2019,2,SU0297366901,"51.401133, -1.9586514",Green_hay_bush,8.44,24.1,Yes,No,Yes,Yes,Above_median,Below_median
HorntonHouseFarm_1_parallel,3678.0,4070.0,555.0,1621.0,745.0,118.0,60.0,0.0,0.0,69.0,2.0,0.0,69.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31;nan,2016,5,SU0584565118,"51.385079, -1.917395",seed_mix,8.6,29.5,Yes,Yes,Yes,No,Above_median,Below_median
TownsendFarm_1,3305.0,4463.0,616.0,1520.0,456.0,148.0,56.0,173.0,88.0,28.0,55.0,82.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32;nan,2017,4,SU0775065316,"51.386837, -1.8900159",seed_mix,8.2,36.6,Yes,No,Yes,No,Above_median,Below_median
TownsendFarm_2,4154.0,3660.0,712.0,1112.0,746.0,0.0,20.0,11.0,99.0,425.0,34.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33;nan,2010,11,SU0705164722,"51.381505, -1.9000725",seed_mix,8.45,21.2,Yes,No,Yes,No,Above_median,Below_median
TownsendFarm_3_big,3390.0,5009.0,256.0,1056.0,463.0,286.0,42.0,323.0,59.0,19.0,55.0,26.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34;nan,2014,7,SU0886965184,"51.385634, -1.8739384",Green_hay_bush,7.92,42.7,Yes,No,Yes,No,Below_median,Below_median
