site_code/Field No.	Site	plot_number	CU Code	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
	Stonehenge_-_Luxenborough_BankB	Q4	CU0212	2000	21	SU1290041900	"51.176193, -1.8168457"	Green_hay/bush	7.78	186.6	1	0	1	1
	Stonehenge_-_Luxenborough_BankB	Q7	CU0213	2000	21	SU1290041900	"51.176193, -1.8168457"	Green_hay/bush	7.78	186.6	1	0	1	1
	Stonehenge_-_Luxenborough_BankB	Q10	CU0214	2000	21	SU1290041900	"51.176193, -1.8168457"	Green_hay/bush	7.78	186.6	1	0	1	1
	Stonehenge_-_Luxenborough_BankB	Q13	CU0215	2000	21	SU1290041900	"51.176193, -1.8168457"	Green_hay/bush	7.78	186.6	1	0	1	1
15	Watlington_natural_reversion	Q1	CU0216	2000	21	SU7050293600	"51.636798, -0.98266944"	Natural_regen	7.8	147.5	0	0	1	0
	Watlington_natural_reversion	Q4	CU0217	2000	21	SU7050293600	"51.636798, -0.98266944"	Natural_regen	7.8	147.5	0	0	1	0
	Watlington_natural_reversion	Q7	CU0218	2000	21	SU7050293600	"51.636798, -0.98266944"	Natural_regen	7.8	147.5	0	0	1	0
	Watlington_natural_reversion	Q10	CU0219	2000	21	SU7050293600	"51.636798, -0.98266944"	Natural_regen	7.8	147.5	0	0	1	0
	Watlington_natural_reversion	Q13	CU0220	2000	21	SU7050293600	"51.636798, -0.98266944"	Natural_regen	7.8	147.5	0	0	1	0
16	St_Catherines_A3	Q1	CU0221	1994	27	SU4812327449	"51.044386, -1.3149275"	Green_hay/bush	7.63	222	1	1	1	0
	St_Catherines_A3	Q4	CU0222	1994	27	SU4812327449	"51.044386, -1.3149275"	Green_hay/bush	7.63	222	1	1	1	0
	St_Catherines_A3	Q7	CU0223	1994	27	SU4812327449	"51.044386, -1.3149275"	Green_hay/bush	7.63	222	1	1	1	0
	St_Catherines_A3	Q10	CU0224	1994	27	SU4812327449	"51.044386, -1.3149275"	Green_hay/bush	7.63	222	1	1	1	0
	St_Catherines_A3	Q13	CU0225	1994	27	SU4812327449	"51.044386, -1.3149275"	Green_hay/bush	7.63	222	1	1	1	0
17	HARLEY_FARMS_Chittern	Q1	CU0226	2013	8	ST9762044730	"51.201778, -2.0354461"	seed_mix	7.77	197.9	1	1	0	1
	HARLEY_FARMS_Chittern	Q4	CU0227	2013	8	ST9762044730	"51.201778, -2.0354461"	seed_mix	7.77	197.9	1	1	0	1
	HARLEY_FARMS_Chittern	Q7	CU0228	2013	8	ST9762044730	"51.201778, -2.0354461"	seed_mix	7.77	197.9	1	1	0	1
	HARLEY_FARMS_Chittern	Q10	CU0229	2013	8	ST9762044730	"51.201778, -2.0354461"	seed_mix	7.77	197.9	1	1	0	1
	HARLEY_FARMS_Chittern	Q13	CU0230	2013	8	ST9762044730	"51.201778, -2.0354461"	seed_mix	7.77	197.9	1	1	0	1
18	HARLEY_FARMS_New1	Q1	CU0231	2020	1	ST9346829822	"51.067692, -2.0945983"	seed_mix	7.84	144.1	0	1	0	0
	HARLEY_FARMS_New1	Q4	CU0232	2020	1	ST9346829822	"51.067692, -2.0945983"	seed_mix	7.84	144.1	0	1	0	0
	HARLEY_FARMS_New1	Q7	CU0233	2020	1	ST9346829822	"51.067692, -2.0945983"	seed_mix	7.84	144.1	0	1	0	0
	HARLEY_FARMS_New1	Q10	CU0234	2020	1	ST9346829822	"51.067692, -2.0945983"	seed_mix	7.84	144.1	0	1	0	0
	HARLEY_FARMS_New1	Q13	CU0235	2020	1	ST9346829822	"51.067692, -2.0945983"	seed_mix	7.84	144.1	0	1	0	0
19	HARLEY_FARMS_new2b	Q1	CU0236	2020	1	ST9242629613	"51.065799, -2.1094648"	seed_mix	7.09	102.5	1	0	0	0
	HARLEY_FARMS_new2b	Q4	CU0237	2020	1	ST9242629613	"51.065799, -2.1094648"	seed_mix	7.09	102.5	1	0	0	0
	HARLEY_FARMS_new2b	Q7	CU0238	2020	1	ST9242629613	"51.065799, -2.1094648"	seed_mix	7.09	102.5	1	0	0	0
	HARLEY_FARMS_new2b	Q10	CU0239	2020	1	ST9242629613	"51.065799, -2.1094648"	seed_mix	7.09	102.5	1	0	0	0
	HARLEY_FARMS_new2b	Q13	CU0240	2020	1	ST9242629613	"51.065799, -2.1094648"	seed_mix	7.09	102.5	1	0	0	0
20	WINDMILL_farm	Q1	CU0241	1990	31	SU7176229761	"51.06271, -0.97732036"	seed_mix	7.32	210	1	1	1	1
