sampleid	Site	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
GP216	Watlington_natural_reversion	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	7.8	147.5	no	no	yes	no
GP217	Watlington_natural_reversion	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	7.8	147.5	no	no	yes	no
GP218	Watlington_natural_reversion	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	7.8	147.5	no	no	yes	no
GP219	Watlington_natural_reversion	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	7.8	147.5	no	no	yes	no
GP220	Watlington_natural_reversion	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	7.8	147.5	no	no	yes	no
GP221	St_Catherines_A3	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay/bush	7.63	222	yes	yes	yes	no
GP222	St_Catherines_A3	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay/bush	7.63	222	yes	yes	yes	no
GP223	St_Catherines_A3	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay/bush	7.63	222	yes	yes	yes	no
GP224	St_Catherines_A3	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay/bush	7.63	222	yes	yes	yes	no
GP225	St_Catherines_A3	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay/bush	7.63	222	yes	yes	yes	no
GP226	HARLEY_FARMS_Chittern	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	7.77	197.9	yes	yes	no	yes
GP227	HARLEY_FARMS_Chittern	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	7.77	197.9	yes	yes	no	yes
GP228	HARLEY_FARMS_Chittern	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	7.77	197.9	yes	yes	no	yes
GP229	HARLEY_FARMS_Chittern	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	7.77	197.9	yes	yes	no	yes
GP230	HARLEY_FARMS_Chittern	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	7.77	197.9	yes	yes	no	yes
GP231	HARLEY_FARMS_New1	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	7.84	144.1	no	yes	no	no
GP232	HARLEY_FARMS_New1	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	7.84	144.1	no	yes	no	no
GP233	HARLEY_FARMS_New1	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	7.84	144.1	no	yes	no	no
GP234	HARLEY_FARMS_New1	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	7.84	144.1	no	yes	no	no
GP235	HARLEY_FARMS_New1	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	7.84	144.1	no	yes	no	no
GP236	HARLEY_FARMS_new2b	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	7.09	102.5	yes	no	no	no
GP237	HARLEY_FARMS_new2b	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	7.09	102.5	yes	no	no	no
GP238	HARLEY_FARMS_new2b	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	7.09	102.5	yes	no	no	no
GP239	HARLEY_FARMS_new2b	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	7.09	102.5	yes	no	no	no
GP240	HARLEY_FARMS_new2b	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	7.09	102.5	yes	no	no	no
GP241	WINDMILL_farm	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	7.32	210	yes	yes	yes	yes
GP242	WINDMILL_farm	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	7.32	210	yes	yes	yes	yes
GP243	WINDMILL_farm	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	7.32	210	yes	yes	yes	yes
GP244	WINDMILL_farm	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	7.32	210	yes	yes	yes	yes
GP245	WINDMILL_farm	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	7.32	210	yes	yes	yes	yes
GP246	DRUIDS	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	7.14	176.3	yes	yes	yes	yes
GP247	DRUIDS	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	7.14	176.3	yes	yes	yes	yes
GP248	DRUIDS	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	7.14	176.3	yes	yes	yes	yes
GP249	DRUIDS	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	7.14	176.3	yes	yes	yes	yes
GP250	DRUIDS	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	7.14	176.3	yes	yes	yes	yes
GP251	Stratton_Wood	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	7.41	126.8	yes	no	no	yes
GP252	Stratton_Wood	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	7.41	126.8	yes	no	no	yes
GP253	Stratton_Wood	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	7.41	126.8	yes	no	no	yes
GP254	Stratton_Wood	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	7.41	126.8	yes	no	no	yes
GP255	Stratton_Wood	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	7.41	126.8	yes	no	no	yes
GP256	WESTMEAD_FARM	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	7.75	159	yes	no	yes	no
GP257	WESTMEAD_FARM	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	7.75	159	yes	no	yes	no
GP258	WESTMEAD_FARM	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	7.75	159	yes	no	yes	no
GP259	WESTMEAD_FARM	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	7.75	159	yes	no	yes	no
GP260	WESTMEAD_FARM	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	7.75	159	yes	no	yes	no
GP261	RSPB_orig_green	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay/bush	7.99	138.1	no	yes	yes	no
GP262	RSPB_orig_green	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay/bush	7.99	138.1	no	yes	yes	no
GP263	RSPB_orig_green	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay/bush	7.99	138.1	no	yes	yes	no
GP264	RSPB_orig_green	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay/bush	7.99	138.1	no	yes	yes	no
GP265	RSPB_orig_green	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay/bush	7.99	138.1	no	yes	yes	no
GP266	RSPB_churchil	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay/bush	8.01	116.8	no	no	yes	no
GP267	RSPB_churchil	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay/bush	8.01	116.8	no	no	yes	no
GP268	RSPB_churchil	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay/bush	8.01	116.8	no	no	yes	no
GP269	RSPB_churchil	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay/bush	8.01	116.8	no	no	yes	no
GP270	RSPB_churchil	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay/bush	8.01	116.8	no	no	yes	no
GP271	RSPB_junction	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay/bush	8.41	24.6	no	no	yes	no
GP272	RSPB_junction	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay/bush	8.41	24.6	no	no	yes	no
GP273	RSPB_junction	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay/bush	8.41	24.6	no	no	yes	no
GP274	RSPB_junction	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay/bush	8.41	24.6	no	no	yes	no
GP275	RSPB_junction	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay/bush	8.41	24.6	no	no	yes	no
GP276	RSPB_Mainline	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay/bush	8.48	23.4	no	no	yes	no
GP277	RSPB_Mainline	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay/bush	8.48	23.4	no	no	yes	no
GP278	RSPB_Mainline	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay/bush	8.48	23.4	no	no	yes	no
GP279	RSPB_Mainline	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay/bush	8.48	23.4	no	no	yes	no
GP280	RSPB_Mainline	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay/bush	8.48	23.4	no	no	yes	no
GP281	Baltic_farm_1	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay/bush	7.94	29.2	yes	yes	yes	no
GP282	Baltic_farm_1	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay/bush	7.94	29.2	yes	yes	yes	no
GP283	Baltic_farm_1	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay/bush	7.94	29.2	yes	yes	yes	no
GP284	Baltic_farm_1	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay/bush	7.94	29.2	yes	yes	yes	no
GP285	Baltic_farm_1	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay/bush	7.94	29.2	yes	yes	yes	no
GP286	Baltic_farm_2	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay/bush	8.27	29.6	yes	yes	yes	no
GP287	Baltic_farm_2	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay/bush	8.27	29.6	yes	yes	yes	no
GP288	Baltic_farm_2	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay/bush	8.27	29.6	yes	yes	yes	no
GP289	Baltic_farm_2	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay/bush	8.27	29.6	yes	yes	yes	no
GP290	Baltic_farm_2	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay/bush	8.27	29.6	yes	yes	yes	no
GP291	WestEndFarm	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay/bush	8.44	24.1	yes	no	yes	yes
GP292	WestEndFarm	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay/bush	8.44	24.1	yes	no	yes	yes
GP293	WestEndFarm	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay/bush	8.44	24.1	yes	no	yes	yes
GP294	WestEndFarm	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay/bush	8.44	24.1	yes	no	yes	yes
GP295	WestEndFarm	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay/bush	8.44	24.1	yes	no	yes	yes
GP296	HorntonHouseFarm_1_parallel	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	8.6	29.5	yes	yes	yes	no
GP297	HorntonHouseFarm_1_parallel	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	8.6	29.5	yes	yes	yes	no
GP298	HorntonHouseFarm_1_parallel	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	8.6	29.5	yes	yes	yes	no
GP299	HorntonHouseFarm_1_parallel	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	8.6	29.5	yes	yes	yes	no
GP300	HorntonHouseFarm_1_parallel	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	8.6	29.5	yes	yes	yes	no
GP301	TownsendFarm_1	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	8.2	36.6	yes	no	yes	no
GP302	TownsendFarm_1	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	8.2	36.6	yes	no	yes	no
GP303	TownsendFarm_1	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	8.2	36.6	yes	no	yes	no
GP304	TownsendFarm_1	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	8.2	36.6	yes	no	yes	no
GP305	TownsendFarm_1	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	8.2	36.6	yes	no	yes	no
GP306	TownsendFarm_2	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	8.45	21.2	yes	no	yes	no
GP307	TownsendFarm_2	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	8.45	21.2	yes	no	yes	no
GP308	TownsendFarm_2	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	8.45	21.2	yes	no	yes	no
GP309	TownsendFarm_2	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	8.45	21.2	yes	no	yes	no
GP310	TownsendFarm_2	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	8.45	21.2	yes	no	yes	no
GP311	TownsendFarm_3_big	2014	7	SU0886965184	51.385634, -1.8739384	Green_hay/bush	7.92	42.7	yes	no	yes	no
