k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__;g__	47.0	47.0	47.0	47.0	47.0	6.0	60.75	109.0	169.75	195.0	31.0	54.0	139.0	173.0	208.0	1.0	48.0	97.0	156.5	319.0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__0319-6A21;g__	129.0	140.0	151.0	162.0	173.0	74.0	194.25	284.0	390.75	891.0	61.0	152.0	224.0	346.0	458.0	26.0	108.5	191.0	235.5	564.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Bacillus	25.0	30.5	36.0	41.5	47.0	1.0	17.75	42.0	60.0	85.0	1.0	17.0	47.0	64.0	96.0	1.0	27.5	40.0	70.0	239.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__;__;__	75.0	80.5	86.0	91.5	97.0	64.0	208.25	244.5	404.0	561.0	78.0	117.0	226.0	284.0	369.0	61.0	118.5	184.0	275.0	593.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;__	1.0	2.25	3.5	4.75	6.0	14.0	30.25	51.5	69.0	138.0	1.0	45.0	67.0	85.0	144.0	14.0	33.5	62.0	129.5	475.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus	1.0	6.5	12.0	17.5	23.0	1.0	3.0	17.5	30.75	57.0	5.0	14.0	23.0	38.0	80.0	1.0	17.0	26.0	36.0	104.0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__TK10;f__;g__	29.0	29.0	29.0	29.0	29.0	1.0	16.5	29.5	55.0	70.0	8.0	23.0	33.0	68.0	83.0	1.0	21.5	31.0	44.5	114.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__	1.0	1.0	1.0	1.0	1.0	1.0	5.0	21.5	34.25	76.0	1.0	23.0	38.0	59.0	83.0	1.0	1.0	31.0	56.5	95.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Ammoniphilus	10.0	11.0	12.0	13.0	14.0	1.0	10.75	17.5	21.75	37.0	11.0	15.0	20.0	31.0	58.0	1.0	20.0	28.0	35.5	286.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__	14.0	15.75	17.5	19.25	21.0	14.0	115.25	192.0	216.0	399.0	31.0	65.0	226.0	244.0	394.0	25.0	68.5	138.0	244.5	547.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Aetherobacter	1.0	3.0	5.0	7.0	9.0	3.0	62.25	82.5	113.25	155.0	1.0	43.0	63.0	103.0	157.0	22.0	53.0	76.0	102.0	167.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j;f__;g__	1.0	9.25	17.5	25.75	34.0	1.0	29.25	44.5	63.0	207.0	1.0	26.0	37.0	49.0	78.0	1.0	20.5	34.0	53.5	80.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;__;__;__	23.0	24.25	25.5	26.75	28.0	1.0	37.0	67.5	94.0	320.0	1.0	35.0	58.0	85.0	145.0	1.0	15.0	42.0	84.0	132.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Isosphaeraceae;g__Nostocoida	34.0	35.75	37.5	39.25	41.0	1.0	16.75	73.5	215.25	336.0	1.0	23.0	65.0	113.0	231.0	1.0	26.0	83.0	147.0	1332.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas	20.0	22.5	25.0	27.5	30.0	1.0	20.75	38.5	51.0	89.0	13.0	27.0	38.0	50.0	70.0	6.0	16.0	37.0	52.5	63.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;__	8.0	11.25	14.5	17.75	21.0	1.0	11.5	28.0	50.5	173.0	1.0	10.0	15.0	28.0	273.0	1.0	7.0	19.0	27.0	65.0
