	Whitelands_2018/19_	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
Stonehenge_2002_2017	0.529895154434684	0.4443185038254463	0.4514026636440918	0.501558515160102	0.5698498158118447	0.345423632757155	0.4638707849249079	0.41428166619438933	0.4173986965145934	0.38367809577784073	0.0	0.4485689997166336	0.4383678095777841	0.47832247095494473	0.5434967412864834	0.4995749504108813	0.3663927458203457	0.44630206857466703	0.6627939926324737	0.5874185321620856	0.5270614905072258	0.5341456503258714	0.4667044488523661	0.38622839331255315	0.3748937376027203	0.40436384244828566	0.4086143383394729	0.5389628790025502	0.44318503825446304	0.5131765372626806	0.42844998583168037	0.5199773306885803	0.47605553981297816	0.495324454519694	0.48994049305752335	0.8829696797959762	0.5216775290450553	0.3763105695664494	0.6885803343723434	0.6007367526211391	0.40436384244828566	0.5287616888637008	0.5868517993765939	0.604137149334089	0.48682346273731936	0.5111929725134599	0.6602436950977614	0.582034570699915	0.5177103995466138	0.4661377160668745	0.47605553981297816	0.6398413148200623	0.4222159251912723	0.42703315386795127	0.5276282232927175	0.8554831396996316	0.4233493907622556	0.4239161235477472	0.5862850665911022	0.5060923774440351	0.572400113346557	0.6347407197506376	0.5905355624822896	0.8824029470104846	0.9118730518560498	0.8798526494757721
Stonehenge_2010	0.5500141683196373	0.4987248512326438	0.5043921790875602	0.49929158401813545	0.5942193255879853	0.42958345140266363	0.34060640408047604	0.35874185321620855	0.3408897704732219	0.3440068007934259	0.4485689997166336	0.0	0.31708699348257297	0.3408897704732219	0.4553697931425333	0.41626523094361007	0.4026636440918107	0.46075375460470386	0.607254179654293	0.5344290167186172	0.4856899971663361	0.4967412864834231	0.46273731935392465	0.4528194956078209	0.4375177103995466	0.40181354491357324	0.41314820062340607	0.5216775290450553	0.4108812694814395	0.4862567299518277	0.48257296684613205	0.4205157268347974	0.4888070274865401	0.3899121564182488	0.5213941626523094	0.8634173986965146	0.5661660527061491	0.4545196939642958	0.6452252762822329	0.5213941626523094	0.45565315953527913	0.4678379144233494	0.5026919807310853	0.5196939642958345	0.4071975063757438	0.4128648342306602	0.604137149334089	0.48540663077359025	0.43808444318503825	0.4429016718617172	0.403797109662794	0.5279115896854633	0.4879569283083026	0.5049589118730519	0.41343156701615186	0.8226126381411165	0.4698214791725701	0.4304335505809011	0.4726551431000283	0.5089260413714933	0.4981581184471522	0.5797676395579484	0.5281949560782091	0.8495324454519694	0.896004533862284	0.8455653159535279
Stonehenge_2011	0.5672995182771323	0.5276282232927175	0.5304618872201757	0.5097761405497307	0.6177387361858884	0.43241711533012184	0.34315670161518846	0.36752621139132896	0.35052422782657977	0.3474071975063757	0.4383678095777841	0.31708699348257297	0.0	0.353357891754038	0.4675545480306036	0.4233493907622556	0.4137149334088977	0.5012751487673562	0.6528761688863701	0.582034570699915	0.5262113913289884	0.5171436667611221	0.47152167752904506	0.48087276848965715	0.4567866251062624	0.42561632190422216	0.42504958911873053	0.529895154434684	0.4471521677529045	0.506375743836781	0.506375743836781	0.44743553414565035	0.5154434684046472	0.4244828563332389	0.5392462453952961	0.8931708699348258	0.563049022385945	0.47945593652592805	0.6902805327288184	0.5718333805610655	0.4885236610937943	0.5247945593652593	0.5233777274015302	0.5655993199206574	0.4525361292150751	0.4582034570699915	0.6452252762822329	0.542646642108246	0.4539529611788042	0.4720884103145367	0.4378010767922924	0.589968829696798	0.5128931708699348	0.5239444601870218	0.4601870218192122	0.8418815528478323	0.4862567299518277	0.4553697931425333	0.5233777274015302	0.5202606970813262	0.5191272315103429	0.5828846698781525	0.5633323887786909	0.8705015585151601	0.9178237461037121	0.867384528194956
Stonehenge_-_Luxenborough_BankB	0.5695664494190988	0.52677812411448	0.5058090110512893	0.4851232643808444	0.6038537829413432	0.4689713799943327	0.3686596769623123	0.38367809577784073	0.3751771039954661	0.3961462170586568	0.47832247095494473	0.3408897704732219	0.353357891754038	0.0	0.44601870218192124	0.39642958345140267	0.4298668177954095	0.5162935675828847	0.6616605270614905	0.5763672428449986	0.5474638707849249	0.5460470388211958	0.48398979880986115	0.495324454519694	0.47605553981297816	0.46868801360158685	0.45480306035704166	0.5117597052989515	0.4222159251912723	0.4706715783508076	0.5239444601870218	0.4224992915840181	0.520544063474072	0.41484839897988096	0.5485973363559082	0.8906205724001134	0.5800510059506943	0.4973080192689147	0.6965145933692264	0.5891187305185605	0.4888070274865401	0.5500141683196373	0.5273448568999717	0.5653159535279116	0.4383678095777841	0.46727118163785775	0.6500425049589119	0.5417965429300085	0.44913573250212524	0.44488523661093793	0.4077642391612355	0.5828846698781525	0.5160102011901389	0.5313119863984131	0.44545196939642956	0.8398979880986115	0.5029753471238311	0.46415415131765375	0.5032587135165769	0.4822896004533862	0.4885236610937943	0.5451969396429583	0.5188438651175971	0.8744686880136016	0.9166902805327288	0.8696514593369227
Watlington_natural_reversion	0.632473788608671	0.5534145650325871	0.5335789175403797	0.4137149334088977	0.6217058656843298	0.5083593085860016	0.4749220742419949	0.522244261830547	0.49702465287616887	0.49277415698498156	0.5434967412864834	0.4553697931425333	0.4675545480306036	0.44601870218192124	0.0	0.40436384244828566	0.5026919807310853	0.5633323887786909	0.6894304335505809	0.6055539812978181	0.5823179370926608	0.5480306035704166	0.5018418815528478	0.5392462453952961	0.5151601020119014	0.5055256446585435	0.5381127798243128	0.5355624822896005	0.4579200906772457	0.49334088977047325	0.596202890337206	0.47378860867101164	0.542646642108246	0.45706999149900823	0.6035704165485973	0.9002550297534713	0.626239727968263	0.5460470388211958	0.7220175687163503	0.626239727968263	0.5247945593652593	0.5732502125247946	0.47237177670728253	0.5976197223009351	0.4831396996316237	0.5109096061207141	0.6724284499858317	0.5797676395579484	0.451119297251346	0.4624539529611788	0.45848682346273734	0.6123547747237178	0.5468971379994333	0.5633323887786909	0.4508359308586002	0.8447152167752905	0.5296117880419382	0.4939076225559649	0.5253612921507509	0.501558515160102	0.47662227259846984	0.5256446585434967	0.5162935675828847	0.8815528478322471	0.9206574100311703	0.8829696797959762
St_Catherines_A3	0.6285066591102295	0.5670161518843865	0.5423632757155001	0.4958911873051856	0.6052706149050723	0.4973080192689147	0.4273165202606971	0.4712383111362992	0.47293850949277416	0.4596202890337206	0.4995749504108813	0.41626523094361007	0.4233493907622556	0.39642958345140267	0.40436384244828566	0.0	0.4771890053839615	0.5443468404647209	0.673561915556815	0.5905355624822896	0.559931992065741	0.5415131765372627	0.5018418815528478	0.5247945593652593	0.5111929725134599	0.5052422782657977	0.5137432700481723	0.48030603570416547	0.44743553414565035	0.47378860867101164	0.5636157551714367	0.4587701898554831	0.5534145650325871	0.4346840464720884	0.5950694247662227	0.8877869084726552	0.6265230943610088	0.5131765372626806	0.6990648909039388	0.5758005100595069	0.4879569283083026	0.5698498158118447	0.46868801360158685	0.5760838764522528	0.4553697931425333	0.5038254463020686	0.6534429016718617	0.5466137716066874	0.4358175120430717	0.4406347407197506	0.39812978180787756	0.6038537829413432	0.5514310002833664	0.5616321904222159	0.3984131482006234	0.8466987815245112	0.5259280249362426	0.48965712666477756	0.4939076225559649	0.4735052422782658	0.4159818645508643	0.4222159251912723	0.45933692264097475	0.8756021535845848	0.9135732502125248	0.878435817512043
HARLEY_FARMS_Chittern	0.49334088977047325	0.4457353357891754	0.457353357891754	0.476338906205724	0.5706999149900822	0.3553414565032587	0.46500425049589117	0.3969963162368943	0.3961462170586568	0.3845281949560782	0.3663927458203457	0.4026636440918107	0.4137149334088977	0.4298668177954095	0.5026919807310853	0.4771890053839615	0.0	0.4128648342306602	0.6253896287900255	0.556814961745537	0.5072258430150184	0.5128931708699348	0.45196939642958345	0.40181354491357324	0.36837631056956643	0.3774440351374327	0.3661093794275999	0.5361292150750921	0.4057806744120147	0.501558515160102	0.3910456219892321	0.4791725701331822	0.44035137432700483	0.4550864267497875	0.4499858316803627	0.8773023519410598	0.49560782091243977	0.4054973080192689	0.6704448852366109	0.5925191272315103	0.4222159251912723	0.49475772173420235	0.5587985264947577	0.577217342023236	0.4465854349674129	0.47237177670728253	0.6338906205724001	0.5511476338906206	0.4692547463870785	0.4375177103995466	0.43950127514876736	0.5981864550864268	0.440068007934259	0.44545196939642956	0.5089260413714933	0.8444318503825446	0.42504958911873053	0.4071975063757438	0.5755171436667611	0.5219608954378011	0.5721167469538113	0.6316236894304336	0.5786341739869652	0.8744686880136016	0.9076225559648625	0.8671011618022103
HARLEY_FARMS_New1	0.4508359308586002	0.4893737602720317	0.5259280249362426	0.5332955511476339	0.6225559648625673	0.40606404080476055	0.5341456503258714	0.49249079059223577	0.476338906205724	0.46075375460470386	0.44630206857466703	0.46075375460470386	0.5012751487673562	0.5162935675828847	0.5633323887786909	0.5443468404647209	0.4128648342306602	0.0	0.5947860583734769	0.5239444601870218	0.509492774156985	0.4820062340606404	0.4559365259280249	0.4465854349674129	0.3916123547747237	0.4057806744120147	0.40238027769906487	0.6047038821195806	0.4865400963445735	0.5290450552564466	0.410031170303202	0.5468971379994333	0.4327004817228677	0.52677812411448	0.4397846415415132	0.8688013601586851	0.4692547463870785	0.4397846415415132	0.6585434967412865	0.607254179654293	0.49645792009067724	0.4958911873051856	0.6095211107962596	0.6044205157268348	0.5072258430150184	0.523661093794276	0.630773590252196	0.585151601020119	0.5284783224709549	0.5117597052989515	0.5120430716916974	0.6083876452252763	0.4975913856616605	0.49560782091243977	0.5491640691413998	0.8413148200623406	0.46557098328138286	0.4531028620005667	0.6117880419382261	0.6049872485123264	0.6412581467837914	0.6871635024086143	0.6599603287050155	0.858033437234344	0.8945877018985549	0.8574667044488523
HARLEY_FARMS_new2b	0.6678945877018986	0.6557098328138283	0.6693114196656277	0.7013318220459054	0.7288183621422499	0.619722300935109	0.6591102295267781	0.6491924057806744	0.6591102295267781	0.6534429016718617	0.6627939926324737	0.607254179654293	0.6528761688863701	0.6616605270614905	0.6894304335505809	0.673561915556815	0.6253896287900255	0.5947860583734769	0.0	0.4318503825446302	0.44828563332388777	0.5664494190988949	0.5775007084159819	0.59931992065741	0.5896854633040521	0.5726834797393029	0.6004533862283933	0.7339189572116747	0.624539529611788	0.6457920090677246	0.6299234910739586	0.6616605270614905	0.6276565599319921	0.6392745820345707	0.610371209974497	0.7778407480872769	0.6914139982998017	0.6381411164635874	0.570983281382828	0.5885519977330689	0.6489090393879285	0.5658826863134032	0.6248228960045339	0.5976197223009351	0.6270898271465004	0.6248228960045339	0.5602153584584868	0.5511476338906206	0.6812128081609521	0.6559931992065741	0.6389912156418249	0.5525644658543497	0.6418248795692831	0.6681779540946444	0.6457920090677246	0.6741286483423066	0.6259563615755172	0.635590818928875	0.6548597336355908	0.7404363842448286	0.7330688580334372	0.7747237177670728	0.7398696514593369	0.6336072541796542	0.774440351374327	0.6438084443185038
WINDMILL_farm	0.6018702181921224	0.5701331822045905	0.5862850665911022	0.6049872485123264	0.6749787475205441	0.5432133748937376	0.5803343723434401	0.5845848682346274	0.583451402663644	0.5777840748087277	0.5874185321620856	0.5344290167186172	0.582034570699915	0.5763672428449986	0.6055539812978181	0.5905355624822896	0.556814961745537	0.5239444601870218	0.4318503825446302	0.0	0.39784641541513177	0.4805894020969113	0.46557098328138286	0.5366959478605837	0.5012751487673562	0.5029753471238311	0.5366959478605837	0.6608104278832531	0.529895154434684	0.5715500141683196	0.553697931425333	0.5925191272315103	0.5301785208274299	0.5658826863134032	0.5585151601020119	0.7639557948427317	0.6007367526211391	0.5437801076792292	0.48087276848965715	0.47832247095494473	0.5545480306035704	0.4545196939642958	0.5230943610087844	0.5140266364409181	0.5242278265797676	0.5140266364409181	0.4531028620005667	0.4587701898554831	0.5712666477755738	0.5582317937092661	0.5616321904222159	0.47605553981297816	0.5692830830263531	0.5857183338056107	0.5661660527061491	0.6959478605837348	0.523661093794276	0.529895154434684	0.5831680362708983	0.6571266647775574	0.6443751771039955	0.7021819212241428	0.684613204873902	0.6599603287050155	0.7897421365826013	0.6962312269764805
