sampleid	Site
GP433	Crux_easton_70b2
GP434	Crux_easton_70b2
GP435	Crux_easton_70b2
GP436	Martin_Down_arabel_reversion
GP437	Martin_Down_arabel_reversion
GP438	Martin_Down_arabel_reversion
GP439	Martin_Down_arabel_reversion
GP440	Martin_Down_arabel_reversion
GP441	Parsonage_down_reversion
GP442	Parsonage_down_reversion
GP443	Parsonage_down_reversion
GP444	Parsonage_down_reversion
GP445	Parsonage_down_reversion
GP446	TARGET_MartinDown
GP447	TARGET_MartinDown
GP448	TARGET_MartinDown
GP449	TARGET_MartinDown
GP450	TARGET_MartinDown
GP451	TARGET_St_Catherines
GP452	TARGET_St_Catherines
GP453	TARGET_St_Catherines
GP454	TARGET_St_Catherines
GP455	TARGET_St_Catherines
GP456	TARGET_ParsonageDown
GP457	TARGET_ParsonageDown
GP458	TARGET_ParsonageDown
GP459	TARGET_ParsonageDown
GP460	TARGET_ParsonageDown
GP461	TARGET_KNEPP_A New_Barn_Field
GP462	TARGET_KNEPP_A New_Barn_Field
GP463	TARGET_KNEPP_A New_Barn_Field
GP464	TARGET_KNEPP_A New_Barn_Field
GP465	TARGET_KNEPP_A New_Barn_Field
GP466	Knepp_Pond_field
GP467	Knepp_Pond_field
GP468	Knepp_Pond_field
GP469	Knepp_Pond_field
GP470	Knepp_Pond_field
GP471	Knepp_Benton_field
GP472	Knepp_Benton_field
GP473	Knepp_Benton_field
GP474	Knepp_Benton_field
GP475	Knepp_Benton_field
