sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
GF396	62546	61166	97.79	60938	60358	96.5	59621	95.32
GF397	92308	88513	95.89	87902	86360	93.56	85936	93.1
GF398	51210	50038	97.71	49870	49592	96.84	49308	96.29
GF399	65801	64465	97.97	64140	63259	96.14	63100	95.9
GF400	77488	74297	95.88	73930	73111	94.35	72715	93.84
GF401	63438	62309	98.22	61797	59083	93.14	58556	92.3
GF402	62201	60239	96.85	59579	58606	94.22	58187	93.55
GF403	60065	58940	98.13	58435	57419	95.59	56333	93.79
GF404	63332	60818	96.03	60245	59415	93.82	57983	91.55
GF405	60962	59240	97.18	58764	57659	94.58	57065	93.61
GF406	35341	34797	98.46	34795	34789	98.44	34581	97.85
GF407	61524	60182	97.82	59805	58908	95.75	58551	95.17
GF408	55937	54724	97.83	54448	53624	95.86	53293	95.27
GF409	39275	38382	97.73	38086	36489	92.91	36375	92.62
GF410	75119	73149	97.38	72727	71502	95.18	71176	94.75
GF411	46548	45424	97.59	45028	44443	95.48	44296	95.16
GF412	64259	62715	97.6	62420	61670	95.97	61502	95.71
GF413	88371	85074	96.27	84672	81521	92.25	80978	91.63
GF414	62031	60720	97.89	60419	57100	92.05	56749	91.48
GF415	61093	59744	97.79	59429	58671	96.04	58220	95.3
GF416	64798	62971	97.18	62529	61482	94.88	61387	94.74
GF417	64420	62559	97.11	62014	60646	94.14	60093	93.28
GF418	52782	51876	98.28	51265	50360	95.41	49815	94.38
GF419	65672	64283	97.88	63720	62480	95.14	61989	94.39
GF420	56912	55646	97.78	55637	55077	96.78	53055	93.22
GF421	61889	59826	96.67	59498	58922	95.21	58727	94.89
GF422	61216	59820	97.72	59429	58826	96.1	58559	95.66
GF423	63716	62269	97.73	61891	61255	96.14	60886	95.56
GF424	62935	61595	97.87	61306	60587	96.27	60414	95.99
GF425	66178	64407	97.32	64026	63178	95.47	61737	93.29
GF426	65374	64036	97.95	63886	63695	97.43	63561	97.23
GF427	45652	44561	97.61	44525	43918	96.2	43789	95.92
GF428	61684	60224	97.63	59984	59408	96.31	59296	96.13
GF429	64436	63101	97.93	62425	61049	94.74	60692	94.19
GF430	56235	53228	94.65	53027	52218	92.86	52218	92.86
GF431	63665	61402	96.45	61363	60994	95.8	60960	95.75
GF432	56003	54566	97.43	54562	54414	97.16	54414	97.16
GF433	62737	59390	94.67	59317	58744	93.64	58148	92.69
GF434	74052	71298	96.28	70399	68808	92.92	68170	92.06
GF435	59629	56725	95.13	56658	56046	93.99	55947	93.83
GF436	61153	57589	94.17	57023	56226	91.94	56011	91.59
GF437	54696	53170	97.21	52334	51264	93.73	50843	92.96
GF438	42696	40659	95.23	39540	38324	89.76	38179	89.42
GF439	60926	57786	94.85	56445	53622	88.01	52856	86.75
GF440	63538	60763	95.63	59412	57570	90.61	57230	90.07
GF441	60196	57433	95.41	56287	54837	91.1	54492	90.52
GF442	48892	46965	96.06	46123	45138	92.32	44930	91.9
GF443	58239	54603	93.76	53725	51770	88.89	51732	88.83
GF444	60255	57691	95.74	56837	55615	92.3	54522	90.49
GF445	56497	51051	90.36	50879	50243	88.93	49953	88.42
GF447	60206	58977	97.96	58271	57676	95.8	57424	95.38
GF448	60940	57599	94.52	56974	55867	91.68	55720	91.43
GF449	60619	58271	96.13	57542	56130	92.59	55659	91.82
GF450	62253	59459	95.51	58737	57503	92.37	56627	90.96
GF451	63350	61261	96.7	60584	59618	94.11	58677	92.62
GF452	75721	73382	96.91	72650	68874	90.96	68114	89.95
GF453	59845	57655	96.34	56676	54220	90.6	53736	89.79
GF454	60088	57587	95.84	56419	54719	91.06	54030	89.92
GF455	58751	55119	93.82	53591	51390	87.47	51115	87
GF456	59070	56777	96.12	55735	54157	91.68	52482	88.85
GF457	73594	70583	95.91	69400	67657	91.93	67445	91.64
GF458	92115	87955	95.48	86603	84468	91.7	83973	91.16
GF459	60775	58211	95.78	56775	54690	89.99	54122	89.05
GF460	60813	59171	97.3	58611	57401	94.39	57107	93.91
GF461	63975	62762	98.1	62044	61313	95.84	60969	95.3
GF462	61181	59970	98.02	59277	58334	95.35	57888	94.62
GF463	37132	35830	96.49	34826	33794	91.01	33117	89.19
GF464	60872	58266	95.72	57752	56806	93.32	56665	93.09
GF465	72048	70206	97.44	69117	67774	94.07	66779	92.69
GF466	60917	59406	97.52	58359	57214	93.92	56374	92.54
GF467	59736	57704	96.6	56820	55977	93.71	55736	93.3
GF468	62058	60289	97.15	59193	57945	93.37	57453	92.58
GF469	59830	57603	96.28	56081	53829	89.97	51082	85.38
GF470	60333	58523	97	57524	56715	94	56297	93.31
GF471	62421	60303	96.61	59043	57511	92.13	56286	90.17
GF472	64075	62465	97.49	61450	60084	93.77	58692	91.6
GF473	41797	40490	96.87	39992	39296	94.02	38607	92.37
GF474	63474	61365	96.68	60324	58978	92.92	58204	91.7
GF475	61051	59784	97.92	58913	57851	94.76	57331	93.91
