OTU ID	Taxonomy	Whitelands_2018_19	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
OTU_29	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Cuphophyllus;s__Cuphophyllus_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	617.0	0.0	0.0	0.0	897.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_30	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium;s__Schizothecium_sp	538.0	107.0	26.0	26.0	23.0	76.0	603.0	65.0	39.0	140.0	93.0	570.0	479.0	146.0	0.0	4.0	157.0	212.0	119.0	52.0	18.0	9.0	18.0	116.0	14.0	23.0	22.0	140.0	0.0	99.0	16.0	102.0	0.0	224.0	31.0	0.0	212.0	0.0	23.0	9.0	8.0	10.0	0.0	3.0	13.0	3.0	0.0	0.0	8.0	165.0	112.0	26.0	0.0	36.0	5.0	0.0	1.0	118.0	29.0	75.0	2.0	0.0	248.0	18.0	0.0	49.0
OTU_31	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycopsidaceae;g__Saccharomycopsis;s__Saccharomycopsis_fibuligera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	940.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_32	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Botryotrichum;s__Botryotrichum_atrogriseum	21.0	46.0	19.0	0.0	183.0	23.0	35.0	35.0	29.0	28.0	74.0	94.0	129.0	451.0	0.0	0.0	87.0	131.0	242.0	30.0	12.0	22.0	11.0	0.0	3.0	16.0	0.0	82.0	0.0	232.0	23.0	59.0	0.0	96.0	77.0	0.0	15.0	5.0	11.0	16.0	10.0	0.0	0.0	30.0	6.0	16.0	0.0	5.0	11.0	1.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	10.0	9.0	0.0	0.0	41.0	0.0	0.0	0.0
OTU_33	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__Linnemannia_amoeboidea	0.0	16.0	278.0	0.0	0.0	20.0	209.0	0.0	7.0	0.0	0.0	0.0	156.0	77.0	119.0	27.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	20.0	18.0	0.0	0.0	14.0	166.0	0.0	0.0	128.0	194.0	29.0	31.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	359.0	69.0	1225.0	14.0	35.0	0.0	0.0	0.0
OTU_34	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Nectriopsis;s__Nectriopsis_sp	0.0	0.0	0.0	0.0	2.0	63.0	2.0	71.0	88.0	0.0	31.0	219.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	12.0	89.0	13.0	58.0	7.0	18.0	0.0	5.0	23.0	27.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	48.0	0.0	108.0	26.0	0.0	0.0	0.0	0.0
OTU_35	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Tetracladium;s__Tetracladium_sp	239.0	176.0	5.0	69.0	32.0	57.0	99.0	144.0	52.0	53.0	69.0	94.0	158.0	63.0	153.0	6.0	89.0	161.0	42.0	102.0	74.0	376.0	162.0	70.0	77.0	259.0	196.0	267.0	0.0	0.0	9.0	53.0	59.0	75.0	99.0	0.0	260.0	34.0	39.0	82.0	66.0	199.0	0.0	60.0	41.0	48.0	30.0	27.0	41.0	34.0	56.0	158.0	10.0	15.0	32.0	5.0	25.0	42.0	72.0	45.0	143.0	0.0	16.0	13.0	0.0	0.0
OTU_36	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_sp	0.0	0.0	16.0	75.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	24.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	598.0	0.0	0.0	224.0	11.0	0.0	0.0	100.0	18.0	4.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	13.0	36.0	14.0	81.0	0.0	45.0	0.0	0.0	0.0
OTU_37	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Trichosporiella;s__Trichosporiella_multisporum	55.0	0.0	0.0	185.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	17.0	0.0	0.0	0.0	0.0	185.0	59.0	50.0	45.0	0.0	95.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	72.0	0.0	39.0	0.0	0.0	0.0	0.0	75.0	31.0	0.0	0.0	53.0	0.0	0.0	66.0	12.0	0.0	69.0	0.0	62.0	77.0	0.0	50.0	24.0	0.0	50.0	0.0	0.0	35.0	0.0	0.0	0.0
OTU_38	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_quadrangulata	0.0	0.0	0.0	212.0	0.0	6.0	85.0	33.0	53.0	75.0	23.0	32.0	4.0	104.0	19.0	132.0	0.0	0.0	31.0	25.0	8.0	148.0	0.0	0.0	0.0	7.0	1.0	176.0	0.0	0.0	0.0	57.0	0.0	103.0	0.0	13.0	0.0	0.0	11.0	124.0	7.0	0.0	8.0	47.0	4.0	79.0	0.0	0.0	10.0	0.0	13.0	39.0	0.0	0.0	22.0	79.0	2.0	0.0	49.0	279.0	31.0	126.0	164.0	41.0	53.0	69.0
