OTU ID	Whitelands_2018_19	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Lipomycetaceae;g__Lipomyces	40.0	139.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	17.0	3.0	2.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	3.0	2.0	0.0	9.0	0.0	5.0	0.0	1.0	7.0	8.0	3.0	0.0	0.0	5.0	0.0	2.0	2.0	0.0	2.0	4.0	0.0	84.0	287.0	0.0	0.0	12.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pyrenochaetopsidaceae;g__Xenopyrenochaetopsis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.0	104.0	141.0
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryales;f__Microbotryales_fam_Incertae_sedis;g__Microbotryales_gen_Incertae_sedis	0.0	0.0	0.0	0.0	1.0	3.0	17.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	94.0	4.0	0.0	45.0	46.0	20.0	0.0	8.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis	115.0	19.0	24.0	10.0	18.0	9.0	10.0	14.0	13.0	16.0	9.0	11.0	11.0	0.0	5.0	0.0	2.0	36.0	72.0	22.0	3.0	5.0	71.0	58.0	77.0	1.0	1.0	11.0	0.0	0.0	2.0	0.0	9.0	18.0	38.0	9.0	120.0	0.0	63.0	0.0	6.0	40.0	0.0	0.0	8.0	13.0	2.0	0.0	4.0	25.0	0.0	17.0	8.0	64.0	0.0	2.0	4.0	37.0	2.0	3.0	2.0	2.0	6.0	31.0	6.0	43.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Tremellodendropsidales;f__Tremellodendropsidaceae;g__Tremellodendropsidaceae_gen_Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	261.0	0.0	0.0	319.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium	0.0	0.0	0.0	0.0	9.0	25.0	31.0	128.0	6.0	29.0	21.0	38.0	135.0	24.0	5.0	30.0	18.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	4.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	93.0	23.0	0.0	18.0	0.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	795.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Chaetothyriales_gen_Incertae_sedis	0.0	11.0	0.0	0.0	0.0	39.0	78.0	65.0	7.0	6.0	143.0	19.0	60.0	52.0	7.0	11.0	5.0	0.0	0.0	0.0	0.0	3.0	25.0	0.0	2.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	6.0	0.0	28.0	28.0	0.0	4.0	0.0	5.0	5.0	102.0	11.0	4.0	6.0	0.0	0.0	0.0	12.0	2.0	0.0	0.0	0.0	0.0	48.0	4.0	14.0	11.0	6.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;__;__	84.0	21.0	0.0	0.0	0.0	19.0	0.0	25.0	17.0	14.0	13.0	26.0	20.0	22.0	2.0	0.0	24.0	9.0	0.0	11.0	0.0	7.0	0.0	17.0	27.0	37.0	44.0	0.0	0.0	0.0	0.0	26.0	0.0	9.0	0.0	0.0	126.0	0.0	0.0	0.0	2.0	16.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	10.0	10.0	3.0	11.0	0.0	0.0	0.0	0.0	66.0	0.0	12.0	0.0	0.0	0.0	20.0	1.0	7.0
k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiales_fam_Incertae_sedis;g__Rhizophydiales_gen_Incertae_sedis	6.0	90.0	21.0	54.0	0.0	119.0	35.0	148.0	95.0	74.0	109.0	50.0	29.0	29.0	32.0	8.0	29.0	4.0	0.0	81.0	16.0	5.0	6.0	5.0	48.0	11.0	22.0	0.0	1.0	13.0	1.0	8.0	36.0	19.0	16.0	36.0	29.0	10.0	87.0	6.0	0.0	26.0	17.0	9.0	17.0	18.0	15.0	5.0	6.0	16.0	25.0	11.0	119.0	49.0	10.0	194.0	64.0	122.0	6.0	17.0	4.0	0.0	44.0	109.0	10.0	51.0
