# Constructed from biom file
OTU ID	Whitelands_2018_19_	Castle_Field_West__W_	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A_New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
PWY-621	1660.2194955545456	1783.6972912370447	1548.778384221988	870.5711320938267	3308.6474591943224	1990.4433560353573	1757.767712322953	2306.671717420953	1901.6800146691116	1789.342548118501	1906.6287598449114	1903.912021066066	1628.564971951864	1381.3424889549776	1342.4875819152521	1445.5900125289465	2026.0334043488233	2277.494350921494	2469.133653602487	2629.5334812673486	2573.9512972187413	1769.1235698792245	1574.1764651000647	2239.4338287241576	2202.799054590484	2555.586107947216	2175.1989181351773	1706.6395292280286	2068.421949914668	2367.197784487048	1985.0773677323687	1454.4641745049305	1828.0218456016714	1788.0285485767138	2094.0557000560843	3605.4264116371965	1492.3290310920179	2238.807124534275	3922.4517563147797	2521.1457426080688	2283.5633699733303	2455.7277960284177	2583.609437734236	2535.733635098699	1783.8362443954582	1772.3781032955415	3306.8476015949536	3094.4011295193313	1455.252786345269	2009.6412032810572	1989.2965924372638	2152.7810496571333	2018.8623689766987	1702.1912074691522	2153.4213262341523	1520.4142561143565	2381.646516390168	2042.3708771268973	1794.0443922724612	1545.923199113016	1701.8473442426857	1468.5986111353186	2183.71112088632	2047.6273794150443	2942.0218309640527	1818.3479753370839
PWY-6210	437.03581295917604	413.4119314454626	518.6230507434572	258.34053725759145	341.4281474793668	317.3330850962817	267.18614882773215	249.17297791168843	237.9561338033704	248.57166459650836	296.99342024394196	276.7620557831436	274.41821701308436	324.3935093737472	317.7039234114645	284.34764864413404	307.47830887095836	263.27775729808485	312.5410764919743	283.5469506736327	234.31752672422155	373.3791689165101	355.83295446323416	411.9159883209711	304.2372172369815	314.69353256426626	316.5790652864549	315.8043026946902	293.543869959791	285.51811631889626	297.1536755757052	213.18760507992292	307.8600279065186	276.7718208342425	377.16954545271085	474.2472266102591	285.34482614995756	305.73611055287574	381.9623662547289	191.91198548730137	205.00658599525804	270.7517480845203	261.1823828565614	192.77606168049348	210.14042196657283	314.4069614241505	375.8937079402017	258.05706646943145	242.90235328196923	257.1733601701105	270.4474447791107	202.77080370450977	340.621373255483	308.2357082005557	206.19733982103932	190.66134566738697	406.2418296697413	306.21649971862684	254.5949886673028	241.38427653418947	357.3512410555046	283.1092932854459	238.65346154275318	315.2805194491016	346.0541521706247	169.61143586001643
PWY-6263	3531.7209542300006	3105.72497442984	3217.995180988534	3634.0693466122916	2018.6098573539205	3294.7287584699316	3377.377118422363	3132.0600815726807	3718.0106411969346	3335.493450263159	2657.0557820489394	3561.171986990338	3362.297339246341	3693.0637113134208	3517.6777933905123	3292.812653974317	3278.8570256843796	3141.280910441967	3586.423195227432	3574.3067131455	3167.4500837780693	3153.8249714033145	3456.8586865019624	2977.177592758642	3294.14212424829	3523.973752447064	3358.803048689306	2330.192588825113	2890.7558810871155	2713.8720708886767	2603.6055874020226	3568.5876033749173	3249.1338802156884	3353.544948813544	2900.656877091363	2677.7554169742284	2948.439176526983	2841.664118677813	2814.0633224290054	2292.2529397155668	2733.740077678435	3743.145583963096	2736.3744550021743	2633.91386441433	3230.636345735666	3445.2003350110645	3171.2719940815145	3066.6502417489132	3583.8133253981796	3308.7356467408763	2995.3012000028084	3443.179868858717	2744.7320321841557	3061.199412635695	3271.2229378489783	3824.451624544349	2322.6635428396967	3152.7505073826374	3799.050830160136	3560.8566479227416	3540.3842007923326	3065.0686976587417	3645.356291577721	3662.4362625607228	4148.5217229085565	4136.96175852361
PWY-6269	2266.2965436658824	2357.8837028222715	2560.866229090977	1819.6189601791423	3697.9262589164514	2206.533154460757	2119.6430540062997	2164.0590161474506	1989.372446028758	1943.3028915111424	2212.747710323806	2198.8737070809802	2036.9366473427788	2004.8609441773303	2063.0265895349803	1925.8923218380412	2257.7071239077004	2380.1018038235816	2789.672253373785	2519.952939239177	2794.18886797996	1992.8926467059416	2158.2261010806365	2413.640102019035	2231.8147174411297	2460.3942324434884	2369.8136232270967	2087.439464981862	2238.489236309923	2644.9528935815383	2265.262925212534	2184.308351185024	2314.046103223053	2134.5383923079994	2686.0658395020505	4554.733476542035	1951.1673542674944	2280.033680878836	3298.1973324871024	3174.7205453876613	2309.692833678177	2179.5074985034053	2964.4574246599173	3543.2150651940474	2121.13747147351	2176.152331027797	3055.2664477963126	2949.75584959263	1604.5737206242316	2211.277610868806	2360.3156992761487	2141.299121200265	2739.1569129536188	2291.878597338574	2369.4374822774253	3095.6843086697445	2710.915056752263	2243.285761235985	1876.9425484089734	1858.2477483641135	1775.5325458472034	1547.357797567536	2319.5709362898733	2907.668526834265	3389.7452500908134	2861.526207159389
PWY-6277	10427.11523271511	10761.149636835622	10718.15952554917	10726.64132380736	9373.567560795793	10735.033791506381	10726.087629374193	10719.295315695443	10743.940449304026	10790.559526830537	10836.82710064097	10672.828595694742	10651.020429309	10569.568970866569	10437.133152237839	10575.324515087486	10637.840169138122	10567.907223040093	10429.328389997536	10466.54352763078	10532.94997458805	10582.492077430641	10705.977062101092	10841.581017701026	10813.9893300591	10681.253093597938	10670.904498749243	10903.67867532148	10899.92270755344	10812.907849912266	10677.086931094058	10808.122418921152	10676.969959021222	10757.061209153224	10620.612430540961	10349.553346346655	10558.139767271125	10897.386664247862	10501.755799436803	10099.534118091779	10805.580331109912	10778.485947475767	10334.99819742188	9827.059740677294	10766.027063014248	10719.636340619441	10343.111702820474	10789.772997211163	10707.48479467326	10782.97601180202	10730.100619098066	10634.61966124369	10568.028022642571	10791.515493545523	10785.414946898514	10314.152751683618	10904.539605093209	10756.439067938123	10796.862690157766	10825.055665413716	10712.295470174351	10588.503769484276	10833.863801637293	10119.387019512791	10287.179493825559	9927.910926265658
PWY-6282	5676.778718670971	7071.0623140995085	7322.410349211418	6970.648141615984	9604.595154966024	5426.223573088133	5610.476549441448	5029.829520427292	5071.1507279438665	5274.00380807875	5671.119760474032	6033.426927508731	5635.260836482411	6116.0933739261445	7447.677234245171	6737.660246942923	5819.696233764079	5038.410028297415	4948.909944715435	5572.931301303162	5354.868948572892	5794.379373800202	6316.376585412695	6325.069948434355	5685.747043855457	5345.6102982044595	5484.879720840573	6289.861396005273	6525.718088550219	6431.432570455441	5269.994055654949	5766.359349823799	6521.720509683574	5796.94267649215	6620.93661858527	4728.7430266526335	5432.109927087062	5767.471672777712	4147.272835044966	6342.712664090946	5207.987275145309	5259.220088090016	7345.127460851407	7169.978407082864	5564.482529933045	6118.179714385127	4630.363503386406	5198.965846657083	5536.828311097768	6224.988419492519	5947.922388925178	5477.16142502856	6408.091682828155	5819.892229121613	5730.562582365957	5581.902782927928	6955.002013474826	5803.385809600873	5851.5409200392605	6313.309431844776	6627.6166653849	7312.199183547899	6461.762297294143	4859.152121479524	4714.111186000648	3823.9295975082814
PWY-6317	6740.311681096927	6248.630609986766	6008.157078661707	5420.129554772903	4873.647460040788	6536.29825101721	6237.9035296838065	6643.284156051548	6507.809571738817	6380.002056500611	6642.615671827054	6349.232259044806	6409.884416742589	6136.236461960877	5349.798299775091	6101.348997221525	6657.115335047269	6975.1660920000395	6662.5497625671815	6635.277369693539	6583.567563662717	6536.282195362485	6344.026272629616	6727.189605495506	6683.894293893389	6725.027317938334	6765.016524148197	6411.969026519233	6376.911118007118	6859.568360675236	7027.386972905066	6146.894842771947	6513.7083851514335	6266.816864028094	6658.201481908088	7215.776710663231	6798.794530731647	6846.293993959507	7737.420602013445	6230.693055480647	6635.096977395166	6955.58800826352	5900.966511927866	5683.373399821072	6663.392924336549	6570.849160160949	7410.899397005018	6995.456809320213	6425.686344567443	6238.0394636266055	6491.551841544619	6640.290116224422	6245.8299543983985	6333.304577895934	6423.603982727138	6696.877399055411	6724.571257185018	6500.742058222853	6231.49487234361	5968.686661152291	5895.259088353154	5888.195562990377	5932.937899454038	6149.938966064831	6877.512230010058	6091.557906632482
PWY-6338	151.51488637895145	105.20068196948628	166.2704956530451	133.95364336061724	1723.413953702363	133.253548626472	110.00432668357546	118.78873042911201	95.15864606822065	66.92626176237154	135.87873621429603	123.31375368182009	142.58711713597953	133.84395392400637	51.53079448954085	88.5904554495624	131.14999335186607	168.6198314231726	116.12219828059763	104.01157798333053	80.98942507946991	125.0826135870523	135.6739123234632	136.4471390951511	133.2818859418873	178.81317580652208	170.4960397615304	57.27680827646527	63.61372471831271	91.90543585329986	101.40888158042544	74.56232038067374	88.77675003934226	94.36101824847447	123.33120499916366	34.177757645306905	122.67612157149667	114.12179024393225	60.594930539551825	970.1909303313294	266.91926913174717	167.6249345174858	634.875700810561	1282.4190101022932	196.56244690553075	167.22575124226094	235.03353819760923	90.27836672479484	91.12296844216051	111.4107984475539	103.99809656254403	57.40915305482263	265.6088324999795	89.76748274199646	63.67522223575524	46.59669849913109	156.11684337486972	73.2955392726229	48.74074462251381	42.60717151277765	75.10761643177045	49.48765427496558	24.207540392818217	54.000186404418066	7.145667673762189	12.392242958742466
PWY-6339	394.3114599258564	323.3160764144938	365.83221887842103	257.63530689979194	3134.2700842285108	249.44977515473983	196.16677873263473	213.16916245735632	154.2234862476403	183.43228539662417	245.1846908349133	234.61881605792394	297.3287692386444	234.33500481845064	154.36525371551707	192.75741558864692	300.32235140745775	313.340694986922	238.27353538181563	186.5987980882343	161.33368872610507	253.20080420278222	284.47259029040003	257.2851027820669	274.53672242368833	308.2383165469587	320.62410958528443	130.71976299744745	192.21313421809452	186.6342173200645	248.98197919962246	154.1498263561554	249.3093941531012	202.00410336253307	354.52973609687547	68.415228745546	249.27192513173037	204.23155468146308	225.94138847173068	1947.4368672502073	522.366110034022	280.28374759011956	1263.4390228788996	2588.9673883677833	359.8312178041143	307.5982756537164	510.7148262093614	156.7451084999771	164.0803526543346	232.90727260803993	217.63482539896896	155.45379689817057	587.5635680670091	200.89579243222602	134.6433079344774	323.5358013925413	332.4117006849162	176.69931139465916	80.1785814383918	149.81526538563872	148.53797656889893	111.10506725843562	57.742222617283346	265.2158322483094	49.85897250753651	153.31669529977887
PWY-6349	31.282370715381965	21.520494243913898	12.401901677951603	0.0	0.0	8.979843995772889	3.1534795012274	2.9646454658100128	0.0	0.0	6.108668254793362	0.0	0.0	0.0	0.0	0.0	0.0	5.239462482928845	10.63043844552455	0.0	3.3058025191938323	0.0	0.0	10.799752258732092	40.28703122741159	0.0	24.331586341071663	23.326354670236125	0.0	14.60308906920643	15.582005875836888	0.0	3.503617071452354	3.4275933186610033	6.42300333140464	0.0	0.0	0.0	31.837017980113213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.917877433843229	0.0	0.0	0.0	0.0	0.0	0.0	3.3036118036332076	0.0	0.0	0.0	8.64705241056172	58.21969006013782	47.59002825903197	10.646077682745245	0.0	11.42633684340231	0.0	3.9359101481675784	37.59479169867123
PWY-6350	24.41518029606564	16.08392788439999	8.73314880008841	0.0	0.0	8.983867970901718	2.2041577813190933	2.1283534677850353	0.0	0.0	6.086620839320102	0.0	0.0	0.0	0.0	0.0	0.0	3.957458612602048	7.983675122187916	0.0	2.262449957077826	0.0	0.0	11.317147632271706	33.49241461554235	0.0	19.584460429167223	19.05568054511286	0.0	11.348642884272651	12.51365545697978	0.0	2.334618783241171	2.307337768513494	4.453305032121289	0.0	0.0	0.0	27.10564260692028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.334797918929315	0.0	0.0	0.0	0.0	0.0	0.0	2.261628829991905	0.0	0.0	0.0	6.282048574259275	50.95954641446927	42.595041680053406	7.990727798289914	0.0	9.089777867159507	0.0	3.2975366765573604	30.873102639615983
PWY-6353	7649.380508268384	7036.469661956767	7019.03248797877	5952.238169620355	6620.76432934103	7128.58951860414	6811.759442006783	7061.146873059051	6758.540933037794	6808.929326411627	7106.00129030908	6855.2025913368825	7018.246552992209	6588.832686734552	5738.002031101573	6160.195693620377	7336.545282128444	7472.925910700224	7481.69897531978	7152.535610756896	7144.121893871338	7477.551603741281	7026.588258997852	6968.961104212336	7090.123698560401	7260.508782845772	7507.73807983915	6394.585514603613	6719.285178407523	7139.906642413024	7526.39716134654	6535.519289899711	7208.73761985417	6938.458312277318	7722.164161005158	9033.19584627808	7285.36920676899	6927.642859579741	8101.433617640033	7302.797550843855	6887.206478443388	7273.702580797424	6555.817161226308	6932.386899473988	7068.193386816442	7290.090606667034	8147.505210525358	6986.360641346575	6680.714538231741	6569.409518105851	6482.108370156955	6810.495566215276	6598.531054433785	6433.8194344396525	6177.0218849739385	8020.944310402111	7161.741227972625	6494.857540452831	6229.281035338907	5662.883151404442	5880.91636668383	5467.770662981059	4959.004636227598	6991.8943387059835	7739.313932238358	6350.181466789784
