	W	Reject null hypothesis
PWY-5103	26	False
PWY-5484	25	False
GLYOXYLATE-BYPASS	25	False
PWY-6588	25	False
HSERMETANA-PWY	25	False
BRANCHED-CHAIN-AA-SYN-PWY	25	False
PWY-5304	25	False
PWY-1501	25	False
ARGSYNBSUB-PWY	25	False
PWY-6121	25	False
PWY-6282	24	False
PWY-6123	24	False
PWY-5989	24	False
PWY0-1415	24	False
PWY-5686	24	False
PWY-7664	24	False
TRPSYN-PWY	24	False
PWY-3941	24	False
PWY0-162	24	False
COBALSYN-PWY	24	False
PWY-6897	24	False
PWYG-321	24	False
PWY0-862	24	False
PHOSLIPSYN-PWY	23	False
P122-PWY	23	False
PWY-3781	23	False
PWY-5667	23	False
PWY4FS-8	23	False
OANTIGEN-PWY	23	False
PWY-5654	23	False
COA-PWY	23	False
PWY0-1319	23	False
PWY4FS-7	23	False
PWY-6876	23	False
GLUTORN-PWY	23	False
PWY-5154	23	False
PWY-6122	22	False
P108-PWY	22	False
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	22	False
CENTBENZCOA-PWY	22	False
PWY-181	22	False
PWY-5188	22	False
PWY-7616	22	False
POLYISOPRENSYN-PWY	22	False
PWY-6353	22	False
TCA-GLYOX-BYPASS	22	False
DTDPRHAMSYN-PWY	22	False
PWY-6277	22	False
PWY-5415	21	False
HISTSYN-PWY	21	False
PWY-7323	21	False
PWY-4984	21	False
PWY-5659	21	False
PWY-6396	20	False
PWY-7392	20	False
PWY-7431	20	False
PWY-5741	20	False
LEU-DEG2-PWY	20	False
FASYN-INITIAL-PWY	20	False
PWY-5430	20	False
PWY-5180	19	False
PWY-5920	19	False
PWY-5182	19	False
PYRIDNUCSYN-PWY	19	False
REDCITCYC	19	False
PWY-5509	18	False
PWY-7007	18	False
PYRIDNUCSAL-PWY	18	False
PWY-6269	18	False
ARG+POLYAMINE-SYN	18	False
PWY-7196	18	False
P23-PWY	18	False
GLUCARGALACTSUPER-PWY	18	False
VALDEG-PWY	18	False
BIOTIN-BIOSYNTHESIS-PWY	18	False
GALACTARDEG-PWY	18	False
PWY-7328	18	False
PWY0-1277	18	False
PWY-6317	18	False
PWY-922	18	False
PWY-5910	18	False
PWY-6545	18	False
P124-PWY	18	False
PWY0-1586	17	False
P281-PWY	17	False
ARGORNPROST-PWY	17	False
PWY-6895	17	False
PWY-5178	17	False
POLYAMSYN-PWY	17	False
PWY-6703	17	False
PWY-5104	16	False
PWY-7237	16	False
PWY-6609	16	False
PWY-1861	16	False
GALACTUROCAT-PWY	16	False
PWY-7376	16	False
RUMP-PWY	16	False
PWY-7187	15	False
PWY-7254	15	False
PRPP-PWY	15	False
P381-PWY	15	False
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	15	False
PWY-7090	15	False
PWY0-1296	15	False
PWY0-1297	15	False
PWY-6749	14	False
PWY-6519	14	False
PWY-7332	14	False
PWY-2941	14	False
RHAMCAT-PWY	14	False
PWY0-1479	14	False
PWY-6478	14	False
PWY-7373	14	False
PWY-6690	13	False
DENITRIFICATION-PWY	13	False
PWY-7242	13	False
NAD-BIOSYNTHESIS-II	13	False
HCAMHPDEG-PWY	13	False
PWY-6107	13	False
P125-PWY	13	False
PWY-5181	12	False
PWY-5647	12	False
GLUCUROCAT-PWY	12	False
PWY0-1298	12	False
P621-PWY	12	False
KETOGLUCONMET-PWY	12	False
P42-PWY	12	False
TEICHOICACID-PWY	12	False
PWY-7255	12	False
PWY-621	12	False
PWY-6590	12	False
DENOVOPURINE2-PWY	12	False
PPGPPMET-PWY	12	False
ASPASN-PWY	11	False
CATECHOL-ORTHO-CLEAVAGE-PWY	11	False
PWY0-1061	11	False
PWY-6470	11	False
PWY-6210	11	False
HEXITOLDEGSUPER-PWY	11	False
P101-PWY	11	False
PWY-5941	11	False
PWY-5899	11	False
P161-PWY	11	False
PWY-5898	11	False
PWY-5897	11	False
PWY-6505	11	False
PWY-5863	11	False
PWY-5861	11	False
PWY-5417	11	False
P562-PWY	11	False
PWY-6891	11	False
PWY-5840	11	False
