index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Mortierellomycota,k__Fungi;__,k__Fungi;p__Fungi_phy_Incertae_sedis,k__Fungi;p__Zoopagomycota,k__Rhizaria;p__Cercozoa,k__Fungi;p__Rozellomycota,Unassigned;__,k__Fungi;p__Chytridiomycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Olpidiomycota,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis,k__Fungi;p__Monoblepharomycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mucoromycota,k__Stramenopila;p__Ochrophyta,k__Viridiplantae;p__Anthophyta,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Sanchytriomycota,k__Metazoa;p__Chordata,k__Fungi;p__Basidiobolomycota,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Age_category
St_Catherines_A3,3038.0,5392.0,241.0,1563.0,176.0,89.0,61.0,74.0,87.0,170.0,17.0,80.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1994,27,SU4812327449,"51.044386, -1.3149275",Green_hay_bush,pH_7,222.0,Yes,Yes,Yes,No,Old
HARLEY_FARMS_Chittern,3552.0,5261.0,460.0,694.0,501.0,134.0,75.0,51.0,126.0,59.0,64.0,6.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2013,8,ST9762044730,"51.201778, -2.0354461",seed_mix,pH_7,197.9,Yes,Yes,No,Yes,New
HARLEY_FARMS_New1,1371.0,6454.0,527.0,401.0,1119.0,803.0,206.0,16.0,17.0,52.0,30.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2020,1,ST9346829822,"51.067692, -2.0945983",seed_mix,pH_7,144.1,No,Yes,No,No,New
HARLEY_FARMS_new2b,801.0,6166.0,1620.0,607.0,213.0,1272.0,137.0,142.0,1.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2020,1,ST9242629613,"51.065799, -2.1094648",seed_mix,pH_7,102.5,Yes,No,No,No,New
WINDMILL_farm,1051.0,6406.0,856.0,1544.0,285.0,233.0,43.0,341.0,25.0,19.0,113.0,14.0,0.0,61.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1990,31,SU7176229761,"51.06271, -0.97732036",seed_mix,pH_7,210.0,Yes,Yes,Yes,Yes,Old
DRUIDS,1218.0,6995.0,356.0,1174.0,794.0,261.0,80.0,44.0,4.0,12.0,38.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2002,19,SU2964250324,"51.251319, -1.5766624",seed_mix,pH_7,176.3,Yes,Yes,Yes,Yes,Intermediate
Stratton_Wood,676.0,4404.0,814.0,2985.0,1359.0,481.0,131.0,22.0,35.0,54.0,20.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1995,26,SU1647289260,"51.601942, -1.7635665",seed_mix,pH_7,126.8,Yes,No,No,Yes,Old
WESTMEAD_FARM,1785.0,4288.0,844.0,2352.0,706.0,871.0,14.0,10.0,58.0,39.0,3.0,0.0,18.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2000,21,SU6317525168,"51.022422, -1.1006408",seed_mix,pH_7,159.0,Yes,No,Yes,No,Old
RSPB_orig_green,3098.0,4138.0,1124.0,1124.0,1119.0,130.0,172.0,15.0,51.0,16.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2006,15,SU2135640329,"51.161815, -1.6959767",Green_hay_bush,pH_7,138.1,No,Yes,Yes,No,Intermediate
RSPB_churchil,3534.0,4265.0,849.0,971.0,799.0,125.0,224.0,29.0,97.0,44.0,44.0,13.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2010,11,SU2075340336,"51.1619, -1.7045994",Green_hay_bush,pH_8,116.8,No,No,Yes,No,Intermediate
RSPB_junction,1608.0,4864.0,1267.0,2185.0,524.0,178.0,94.0,36.0,135.0,82.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2007,14,SU2267739280,"51.152332, -1.6771517",Green_hay_bush,pH_8,24.6,No,No,Yes,No,Intermediate
RSPB_Mainline,4284.0,4114.0,660.0,1330.0,228.0,144.0,92.0,11.0,20.0,81.0,19.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2016,5,SU2250539212,"51.151728, -1.6796151",Green_hay_bush,pH_8,23.4,No,No,Yes,No,New
Baltic_farm_1,891.0,7372.0,199.0,932.0,1187.0,63.0,273.0,17.0,55.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2005,16,SU0459767825,"51.40943, -1.9352946",Green_hay_bush,pH_7,29.2,Yes,Yes,Yes,No,Intermediate
Baltic_farm_2,6680.0,1161.0,503.0,1564.0,683.0,145.0,37.0,4.0,2.0,145.0,6.0,0.0,65.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1998,23,SU0306867167,"51.403524, -1.9572835",Green_hay_bush,pH_8,29.6,Yes,Yes,Yes,No,Old
WestEndFarm,6388.0,2593.0,377.0,944.0,282.0,247.0,117.0,0.0,0.0,0.0,22.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019,2,SU0297366901,"51.401133, -1.9586514",Green_hay_bush,pH_8,24.1,Yes,No,Yes,Yes,New
HorntonHouseFarm_1_parallel,3697.0,4084.0,557.0,1592.0,766.0,114.0,58.0,0.0,0.0,64.0,3.0,0.0,54.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2016,5,SU0584565118,"51.385079, -1.917395",seed_mix,pH_8,29.5,Yes,Yes,Yes,No,New
TownsendFarm_1,3250.0,4428.0,620.0,1601.0,437.0,159.0,62.0,168.0,100.0,27.0,52.0,76.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2017,4,SU0775065316,"51.386837, -1.8900159",seed_mix,pH_8,36.6,Yes,No,Yes,No,New
TownsendFarm_2,4190.0,3552.0,700.0,1134.0,789.0,0.0,18.0,7.0,105.0,434.0,40.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2010,11,SU0705164722,"51.381505, -1.9000725",seed_mix,pH_8,21.2,Yes,No,Yes,No,Intermediate
TownsendFarm_3_big,3458.0,5002.0,251.0,981.0,515.0,281.0,42.0,316.0,47.0,19.0,49.0,20.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2014,7,SU0886965184,"51.385634, -1.8739384",Green_hay_bush,pH_7,42.7,Yes,No,Yes,No,New
