index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis,k__Fungi;p__Ascomycota;__,k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,Unassigned;__;__,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporea,k__Fungi;p__Ascomycota;c__GS35,k__Fungi;p__Ascomycota;c__Geoglossomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Zoopagomycota;c__Zoopagomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Sareomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycota_cls_Incertae_sedis,k__Fungi;p__Chytridiomycota;c__Lobulomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Kickxellomycota;c__Ramicandelaberomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Monoblepharomycota;c__Hyaloraphidiomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Chytridiomycota;c__GS14,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes,k__Fungi;p__Blastocladiomycota;c__Physodermatomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Basidiomycota;c__Atractiellomycetes,k__Stramenopila;p__Ochrophyta;c__Bacillariophyceae,k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Sanchytriomycota;c__Sanchytriomycetes,k__Metazoa;p__Chordata;c__Actinopterygii,k__Fungi;p__Mortierellomycota;c__Mortierellomycota_cls_Incertae_sedis,k__Fungi;p__Monoblepharomycota;__,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycota_cls_Incertae_sedis,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporia_cls_Incertae_sedis,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Age_category
Jemma_4,2979.0,252.0,1820.0,1110.0,2239.0,417.0,407.0,813.0,175.0,218.0,28.0,16.0,61.0,24.0,53.0,63.0,122.0,101.0,0.0,0.0,0.0,14.0,5.0,16.0,15.0,6.0,0.0,28.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2015,6,SU1261971802,"51.44507, -1.8198169",Green_hay_bush,pH_7,145.8,Yes,Yes,Yes,No,New
Jemma_5,2198.0,502.0,1165.0,670.0,2942.0,964.0,912.0,167.0,355.0,194.0,97.0,91.0,0.0,238.0,34.0,5.0,50.0,31.0,16.0,23.0,0.0,24.0,13.0,114.0,1.0,4.0,18.0,0.0,0.0,0.0,0.0,89.0,8.0,0.0,0.0,45.0,0.0,0.0,0.0,14.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2015,6,SU1538172691,"51.452995, -1.7800368",seed_mix,pH_8,77.7,Yes,No,Yes,No,New
Jemma_6,2812.0,450.0,1016.0,608.0,1850.0,494.0,662.0,143.0,787.0,302.0,186.0,273.0,66.0,876.0,6.0,47.0,20.0,25.0,64.0,5.0,0.0,68.0,40.0,69.0,17.0,1.0,7.0,9.0,2.0,4.0,0.0,18.0,12.0,8.0,0.0,18.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2013,8,SU1560872573,"51.451928, -1.7767752",seed_mix,pH_8,66.9,Yes,No,Yes,No,New
Jemma_9,6238.0,234.0,668.0,137.0,1852.0,723.0,576.0,62.0,28.0,124.0,42.0,0.0,81.0,16.0,8.0,49.0,0.0,17.0,13.0,1.0,0.0,11.0,5.0,10.0,42.0,3.0,0.0,54.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2015,6,SU1669072674,"51.452806, -1.7611995",seed_mix,pH_8,104.9,Yes,No,Yes,No,New
HomeFarm_WoodlandTrust_Hampshire_good_1c,38.0,220.0,2457.0,2459.0,2998.0,39.0,1563.0,409.0,199.0,82.0,196.0,0.0,0.0,3.0,43.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,36.0,206.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1994,27,SU6579941829,"51.171925, -1.0602025",seed_mix,pH_6,28.4,No,Yes,No,No,Old
Crux_easton_70b1,3761.0,543.0,1231.0,355.0,2792.0,613.0,742.0,193.0,90.0,203.0,29.0,10.0,57.0,39.0,10.0,18.0,0.0,4.0,44.0,0.0,0.0,2.0,3.0,75.0,0.0,111.0,0.0,0.0,0.0,26.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2000,21,SU4192556251,"51.303843, -1.3999827",seed_mix,pH_7,80.7,No,No,Yes,Yes,Old
Crux_easton_70b2,2300.0,545.0,1546.0,391.0,2376.0,1551.0,1162.0,303.0,81.0,179.0,68.0,10.0,17.0,6.0,29.0,32.0,53.0,13.0,1.0,16.0,0.0,42.0,18.0,115.0,0.0,27.0,14.0,0.0,73.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2002,19,SU4195056550,"51.306529, -1.399589",seed_mix,pH_8,76.3,Yes,No,Yes,No,Intermediate
Martin_Down_arabel_reversion,1944.0,329.0,2312.0,218.0,3582.0,226.0,598.0,693.0,311.0,235.0,74.0,5.0,0.0,0.0,89.0,33.0,0.0,84.0,22.0,114.0,0.0,61.0,4.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1957,64,SU0390520162,"50.980853, -1.9457471",Natural_regen,pH_8,115.8,No,No,Yes,Yes,Old
Parsonage_down_reversion,3780.0,694.0,2166.0,441.0,1961.0,142.0,284.0,351.0,230.0,80.0,231.0,2.0,56.0,28.0,159.0,57.0,7.0,84.0,11.0,5.0,0.0,104.0,19.0,31.0,28.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1945,76,SU0610341686,"51.174381, -1.9140803",Natural_regen,pH_8,89.8,No,Yes,No,Yes,Old
TARGET_MartinDown,1330.0,561.0,2271.0,46.0,3913.0,227.0,379.0,968.0,546.0,144.0,16.0,0.0,0.0,0.0,305.0,7.0,0.0,78.0,21.0,29.0,0.0,73.0,15.0,4.0,14.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,old,>100,SU0558918665,"50.967378, -1.9217813",Natural_regen,pH_8,104.9,No,No,Yes,No,Very Old
TARGET_St_Catherines,1986.0,827.0,2294.0,665.0,1798.0,273.0,297.0,1014.0,248.0,9.0,36.0,0.0,0.0,0.0,143.0,0.0,0.0,184.0,16.0,504.0,0.0,245.0,3.0,0.0,377.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,old,>100,SU4832527522,"51.045025, -1.3120365",Natural_regen,pH_7,184.8,No,No,Yes,No,Very Old
TARGET_ParsonageDown,4616.0,340.0,2078.0,97.0,1335.0,290.0,548.0,253.0,204.0,76.0,127.0,3.0,36.0,2.0,183.0,51.0,1.0,168.0,28.0,110.0,0.0,265.0,2.0,40.0,73.0,3.0,0.0,18.0,8.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,old,>100,SU0552141345,"51.17132, -1.9224106",Natural_regen,pH_8,112.3,No,No,Yes,No,Very Old
TARGET_KNEPP_A New_Barn_Field,581.0,726.0,3210.0,1668.0,1803.0,181.0,767.0,352.0,184.0,195.0,153.0,0.0,9.0,22.0,641.0,11.0,0.0,44.0,4.0,66.0,0.0,83.0,34.0,101.0,15.0,0.0,0.0,0.0,18.0,61.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2006,15,TQ1420019600,"50.964513, -0.3751305",Natural_regen,pH_6,48.7,No,Yes,No,,Intermediate
Knepp_Pond_field,408.0,235.0,1009.0,536.0,773.0,42.0,460.0,644.0,6177.0,6.0,3.0,0.0,6.0,13.0,62.0,49.0,1.0,26.0,26.0,63.0,0.0,379.0,33.0,8.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,65.0,2003,18,TQ1410019300,"50.961836, -0.3766479",Natural_regen,pH_6,23.5,No,Yes,No,,Intermediate
Knepp_Benton_field,276.0,635.0,1974.0,562.0,3524.0,267.0,1096.0,294.0,302.0,179.0,120.0,7.0,0.0,58.0,281.0,41.0,10.0,114.0,14.0,231.0,0.0,667.0,39.0,61.0,23.0,0.0,5.0,0.0,6.0,46.0,0.0,126.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,66.0,2005,16,TQ1450019800,"50.966251, -0.37079737",Natural_regen,pH_6,27.6,No,Yes,No,,Intermediate
